time,horizontal_distance,horizontal_distance_detrended,vertical_distance,vertical_distance_detrended
2025-10-04-08-20-57,74.482,0.4934472361809128,13.133186177127888,0.08700806129471594
2025-10-04-08-20-58,76.653,2.6644472361809193,13.515992052245966,0.4698139364127947
2025-10-04-08-20-59,77.488,3.499447236180913,13.663225081137535,0.6170469653043629
2025-10-04-08-21-00,77.488,3.499447236180913,13.663225081137535,0.6170469653043629
2025-10-04-08-21-01,77.488,3.499447236180913,13.663225081137535,0.6170469653043629
2025-10-04-08-21-02,77.488,3.499447236180913,13.663225081137535,0.6170469653043629
2025-10-04-08-21-03,77.488,3.499447236180913,13.663225081137535,0.6170469653043629
2025-10-04-08-21-04,77.488,3.499447236180913,13.663225081137535,0.6170469653043629
2025-10-04-08-21-05,70.641,-3.347552763819081,12.455914244226676,-0.5902638716064956
2025-10-04-08-21-06,73.313,-0.6755527638190841,12.927059936679694,-0.11911817915347811
2025-10-04-08-21-07,75.818,1.8294472361809113,13.368759023354396,0.3225809075212247
2025-10-04-08-21-08,77.321,3.3324472361809114,13.63377847535922,0.5876003595260482
2025-10-04-08-21-09,77.989,4.000447236180918,13.751564898472475,0.7053867826393034
2025-10-04-08-21-10,77.989,4.000447236180918,13.751564898472475,0.7053867826393034
2025-10-04-08-21-11,77.989,4.000447236180918,13.751564898472475,0.7053867826393034
2025-10-04-08-21-12,76.98700000000001,2.9984472361809225,13.574885263802594,0.5287071479694223
2025-10-04-08-21-13,73.146,-0.8425527638190857,12.897613330901379,-0.14856478493179281
2025-10-04-08-21-14,67.802,-6.18655276381908,11.955321945995344,-1.0908561698378278
2025-10-04-08-21-15,71.81,-2.1785527638190842,12.66204048467487,-0.3841376311583016
2025-10-04-08-21-16,75.15,1.1614472361809192,13.250972600241145,0.204794484407973
2025-10-04-08-21-17,77.15400000000001,3.165447236180924,13.604331869580909,0.558153753747737
2025-10-04-08-21-18,79.659,5.6704472361809195,14.046030956255613,0.9998528404224416
2025-10-04-08-21-19,79.492,5.503447236180918,14.016584350477299,0.9704062346441269
2025-10-04-08-21-20,79.325,5.336447236180916,13.987137744698984,0.9409596288658122
2025-10-04-08-21-21,78.991,5.002447236180913,13.928244533142356,0.8820664173091846
2025-10-04-08-21-22,78.824,4.8354472361809115,13.898797927364043,0.8526198115308716
2025-10-04-08-21-23,72.812,-1.176552763819089,12.838720119344751,-0.20745799648842045
2025-10-04-08-21-24,67.96900000000001,-6.019552763819078,11.984768551773657,-1.061409564059515
2025-10-04-08-21-25,66.8,-7.188552763819089,11.77864231132546,-1.2675358045077125
2025-10-04-08-21-26,68.47,-5.518552763819088,12.073108369108597,-0.9730697467245744
2025-10-04-08-21-27,70.97500000000001,-3.013552763819078,12.514807455783304,-0.531370660049868
2025-10-04-08-21-28,73.48,-0.5085527638190825,12.956506542458007,-0.08967157337516518
2025-10-04-08-21-29,74.649,0.6604472361809144,13.162632782906202,0.11645466707303065
2025-10-04-08-21-30,75.31700000000001,1.3284472361809208,13.280419206019458,0.23424109018628592
2025-10-04-08-21-31,75.65100000000001,1.662447236180924,13.339312417576085,0.29313430174291355
2025-10-04-08-21-32,74.983,0.9944472361809176,13.22152599446283,0.17534787862965828
