x,y,z
453824.42968911096,6071948.434310067,0.69
453824.26887837873,6071947.499982465,0.69
453824.262847293,6071946.501601524,0.69
453824.2627580688,6071945.500761627,0.69
453824.26266884466,6071944.499921731,0.69
453824.14859820897,6071943.546251409,0.69
453824.0958270267,6071942.567213187,0.69
453824.0957378025,6071941.5663732905,0.69
453824.09564857837,6071940.565533394,0.69
453824.09555935423,6071939.5646934975,0.69
453823.9288067604,6071938.63282485,0.69
453823.9287175362,6071937.631984954,0.69
453823.90866831376,6071936.639405217,0.69
453823.76187571825,6071935.69927641,0.69
453823.76178649405,6071934.698436514,0.69
453823.7616972699,6071933.697596617,0.69
453823.7616080458,6071932.696756721,0.69
453823.7615188217,6071931.695916824,0.69
453823.7614295975,6071930.695076928,0.69
453823.76134037337,6071929.694237031,0.69
453823.76125114923,6071928.693397135,0.69
453823.76116192515,6071927.692557238,0.69
453823.76107270096,6071926.6917173425,0.69
453823.7609834768,6071925.690877446,0.69
453823.7608942527,6071924.6900375495,0.69
453823.856814062,6071923.728999066,0.69
453823.92739148287,6071922.757454666,0.69
453823.9273022587,6071921.75661477,0.69
453823.92721303453,6071920.755774873,0.69
453824.0937994888,6071919.824031888,0.69
453824.09371026466,6071918.823191991,0.69
453824.21339546924,6071917.872005667,0.69
453824.26020749484,6071916.890609108,0.69
453824.2601182707,6071915.889769211,0.69
453824.2600290465,6071914.888929315,0.69
453824.42661550076,6071913.957186328,0.69
453824.4265262766,6071912.956346432,0.69
453824.42643705255,6071911.955506536,0.69
453824.57042977406,6071911.014397113,0.69
453824.5929342827,6071910.022923653,0.69
453824.75952073693,6071909.091180666,0.69
453824.7594315128,6071908.09034077,0.69
453824.92601796705,6071907.158597784,0.69
453824.92655828374,6071906.158018869,0.69
453825.0925151972,6071905.226014901,0.69
453825.09242597304,6071904.225175004,0.69
453825.25901242736,6071903.293432019,0.69
453825.25892320316,6071902.292592122,0.69
453825.4255096574,6071901.360849136,0.69
453825.5190490392,6071900.398823825,0.69
453825.59200688754,6071899.428266252,0.69
453825.75859334186,6071898.496523267,0.69
453825.75850411766,6071897.49568337,0.69
453825.9250905719,6071896.5639403835,0.69
453825.99313222355,6071895.591344758,0.69
453826.0915878021,6071894.6313575,0.69
453826.25817425636,6071893.699614515,0.69
453826.4247607107,6071892.767871528,0.69
453826.4246714865,6071891.767031631,0.69
453826.5912579408,6071890.835288646,0.69
453826.75784439506,6071889.903545659,0.69
453826.9244308493,6071888.971802672,0.69
453826.9403927964,6071887.977616934,0.69
453827.09092807944,6071887.03921979,0.69
453827.2575145337,6071886.1074768035,0.69
453827.42410098796,6071885.175733817,0.69
453827.53197775705,6071884.219652199,0.69
453827.59059821814,6071883.243150935,0.69
453827.7571846724,6071882.311407948,0.69
453827.92377112666,6071881.379664961,0.69
453828.0903575809,6071880.4479219755,0.69
453828.25694403524,6071879.516178989,0.69
453828.25685481104,6071878.515339092,0.69
453828.42344126536,6071877.583596106,0.69
453828.42335204117,6071876.582756209,0.69
453828.423262817,6071875.581916313,0.69
453828.42317359295,6071874.581076416,0.69
453828.42308436875,6071873.580236521,0.69
453828.4229951446,6071872.579396624,0.69
453828.4229059205,6071871.578556728,0.69
453828.4228166964,6071870.577716831,0.69
453828.4227274722,6071869.576876935,0.69
453828.42263824807,6071868.576037038,0.69
453828.2558856542,6071867.644168391,0.69
453828.25579643005,6071866.643328494,0.69
453828.08904383617,6071865.711459847,0.69
453828.08895461203,6071864.710619951,0.69
453828.00608779665,6071863.744036376,0.69
453827.922112794,6071862.777911407,0.69
453827.9220235699,6071861.77707151,0.69
453827.75527097605,6071860.845202863,0.69
453827.7551817519,6071859.844362967,0.69
453827.588429158,6071858.9124943195,0.69
453827.42167656415,6071857.980625672,0.69
453827.4128827173,6071856.98338806,0.69
453827.2548347461,6071856.0479171295,0.69
453827.08808215224,6071855.116048481,0.69
453826.92132955836,6071854.184179834,0.69
453826.9212403342,6071853.183339938,0.69
453826.75448774034,6071852.251471291,0.69
453826.7025496864,6071851.27208829,0.69
453826.5876459224,6071850.318762748,0.69
453826.4208933285,6071849.3868941,0.69
453826.25414073456,6071848.455025453,0.69
